错误码
REST API
REST API 错误码从 50000 到 59999

公共
错误码从 50000 到 53999

通用类
错误码	HTTP 状态码	错误提示
51277	200	止盈触发价格不能大于最新成交价
51278	200	止损触发价格不能小于最新成交价
51279	200	止盈触发价格不能小于最新成交价
51280	200	止损触发价格不能大于最新成交价
51281	200	计划委托不支持使用tgtCcy参数
51282	200	吃单价优于盘口的比例范围
51283	200	时间间隔的范围{param0}s~{param1}s
51284	200	单笔数量的范围{param0}~{param1}
51285	200	委托总量的范围{param0}~{param1}
51286	200	下单金额需大于等于{param0}
51287	200	当前策略不支持此交易品种
51288	200	策略正在停止中，请勿重复点击
51289	200	策略配置不存在，请稍后再试
51290	200	策略引擎正在升级，请稍后重试
51291	200	策略不存在或已停止
51292	200	策略类型不存在
51293	200	策略不存在
51294	200	该策略暂不能创建，请稍后再试
51295	200	PM账户不支持ordType为{param0}的策略委托单
51298	200	交割、永续合约的买卖模式下，不支持计划委托
51299	200	策略委托失败，用户最多可持有{param0}笔该类型委托
51300	200	止盈触发价格不能大于标记价格
51302	200	止损触发价格不能小于标记价格
51303	200	止盈触发价格不能小于标记价格
51304	200	止损触发价格不能大于标记价格
51305	200	止盈触发价格不能大于指数价格
51306	200	止损触发价格不能小于指数价格
51307	200	止盈触发价格不能小于指数价格
51308	200	止损触发价格不能大于指数价格
51309	200	集合竞价期间不能创建策略
51310	200	逐仓自主划转保证金模式不支持ordType为iceberg、twap的策略委托单
51311	200	移动止盈止损委托失败，回调幅度限制为{min}<x<={max}
51312	200	移动止盈止损委托失败，委托数量范围{min}<x<={max}
51313	200	逐仓自主划转模式不支持策略部分
51317	200	币币杠杆不支持计划委托
51327	200	closeFraction 仅适用于交割合约和永续合约
51328	200	closeFraction 仅适用于只减仓订单
51329	200	closeFraction 仅适用于买卖模式
51330	200	closeFraction 仅适用于止盈止损市价订单
51331	200	closeFraction仅限于平仓单
51332	200	组合保证金模式不支持closeFraction
51333	200	开平模式下的平仓单或买卖模式下的只减仓单无法附带止盈止损
51340	200	投入保证金需大于{0}{1}
51341	200	当前策略状态下暂不支持平仓
51342	200	已有平仓单，请稍后重试
51343	200	止盈价格需小于区间最低价格
51344	200	止损价格需大于区间最高价格
51345	200	策略类型不是网格策略
51346	200	最高价格不能低于最低价格
51347	200	暂无可提取利润
51348	200	止损价格需小于区间最低价格
51349	200	止盈价格需大于区间最高价格
51350	200	暂无可推荐参数
51351	200	单格收益必须大于0
51352	200	币对数量范围{pairNum1} - {pairNum2}
51353	200	存在重复币对{existingPair}
51354	200	币对比例总和需等于100%
51355	200	定投日期范围{date1} - {date2}
51356	200	定投时间范围{0}~{1}
51357	200	时区范围 {timezone1} - {timezone2}
51358	200	每个币种的投入金额需大于{amount}
51359	200	暂不支持定投该币种{0}
51370	200	杠杆倍数范围{0}~{1}
51380	200	市场行情不符合策略配置
51381	200	单网格利润率不在区间内
51382	200	策略不支持停止信号触发
51383	200	最小价格必须小于最新成交价
51384	200	信号触发价格必须大于最小价格
51385	200	止盈价必须大于最小价格
51386	200	最小价格必须大于1/2最新成交价
51387	200	止损价格应小于无限网格的区间最低价
51388	200	策略已在运行中
51389	200	触发价格需小于{0}
51390	200	触发价格需小于止盈价格
51391	200	触发价格需大于止损价格
51392	200	止盈价格需大于触发价格
51393	200	止损价格需小于触发价格
51394	200	触发价格需大于止盈价格
51395	200	触发价格需小于止损价格
51396	200	止盈价格需小于触发价格
51397	200	止损价格需大于触发价格
51398	200	当前行情满足停止条件，无法创建策略
51399	200	当前杠杆下最大可投入金额为 {amountLimit} {quoteCurrency}，请减少投入金额后再试。
51400	200	由于订单已完成、已撤销或不存在，撤单失败
51400	200	撤单失败，订单不存在（仅适用于价差速递）
51401	200	撤单失败，订单已撤销（仅适用于价差速递）
51402	200	撤单失败，订单已完成（仅适用于价差速递）
51403	200	撤单失败，该委托类型无法进行撤单操作
51404	200	价格发现第二阶段您不可撤单
51405	200	撤单失败，您当前没有未成交的订单
51406	400	撤单数量超过最大允许单数{param0}
51407	200	ordIds 和 clOrdIds 不能同时为空
51408	200	币对 id 或币对名称与订单信息不匹配
51409	200	币对 id 或币对名称不能同时为空
51410	200	撤单失败，订单已处于撤销中或结算中
51411	200	用户没有执行mass cancel的权限
51412	200	撤单超时，请稍后重试
51416	200	委托已触发，暂不支持撤单
51413	200	撤单失败，接口不支持该委托类型的撤单
51415	200	下单失败，现货交易仅支持设置最新价为触发价格，请更改触发价格并重试
51416	200	委托已触发，暂不支持撤单
51500	200	价格、数量、止盈/止损不能同时为空
51501	400	修改订单超过最大允许单数{param0}
51502	200	修改订单失败，账户 {param0} 可用余额不足
51502	200	修改订单失败，账户 {param0} 可用保证金不足
51502	200	修改订单失败，账户 {param0} 可用余额不足，且未开启自动借币
51502	200	修改订单失败，账户 {param0} 可用保证金不足，且未开启自动借币（PM模式也可以尝试IOC订单降低风险）
51502	200	修改订单失败，因为 {param0} 剩余的档位限额不足，导致可借不足（限价挂单以及当前下单需借：{param1}， 剩余额度{param2}，限额 {param3}，已用额度{param4}。
51502	200	修改订单失败，因为 {param0} 剩余的档位限额不足，导致可借不足（限价挂单以及当前下单需借：{param1}， 剩余额度{param2}，限额 {param3}，已用额度{param4}。
51502	200	修改订单失败，因为 {param0} 剩余的限额（主账户限额+当前账户锁定的尊享借币额度）不足，导致可借不足（限价挂单以及当前下单需借 {param1}，剩余额度 {param2}，限额 {param3}，已用额度 {param4}。
51502	200	修改订单失败，因为 {param0} 剩余的币对限额不足，导致可借不足
51502	200	修改订单失败，因为 {param0} 剩余的借贷池限额不足，导致可借不足
51502	200	修改订单失败，账户资产不足，美元层面有效保证金小于 IMR（PM模式也可以尝试IOC订单降低风险）
51502	200	修改订单失败，delta 校验未通过，因为若成功下单，adjEq 的变化值将小于 IMR 的变化值。建议增加 adjEq 或减少 IMR 占用（PM模式也可以尝试IOC订单降低风险）
51502	200	修改订单失败，您主账户的 {param0} 借币额度不足
51503	200	由于订单已完成、已撤销或不存在，改单失败
51503	200	由于订单不存在，改单失败（仅适用于价差速递）
51505	200	{instId} 不处于集合竞价阶段
51506	200	订单类型不支持改单
51507	200	您仅能在币种上线至少 5 分钟后进行市价委托
51508	200	集合竞价第一阶段和第二阶段不允许改单
51509	200	修改订单失败,订单已撤销（仅适用于价差速递）
51510	200	修改订单失败,订单已完成（仅适用于价差速递）
51511	200	操作失败，订单价格不满足Post Only条件
51512	200	批量修改订单失败。同一批量改单请求中不允许包含相同订单。
51513	200	对于正在处理的同一订单，改单请求次数不得超过3次
51514	200	修改订单失败，价格长度不能超过 32 个字符
51521	200	改单失败，当前合约无持仓，无法修改只减仓订单
51522	200	改单失败，只减仓订单方向不能与持仓反向相同
51532	200	止盈止损已触发，无法改单
51524	200	不允许在全部仓位止盈止损单上修改委托数量，请修改触发价格
51525	200	一键借币止盈止损单不支持修改
51526	200	改单失败，止盈止损单不支持增加或删除止盈/止损
51527	200	改单失败，止盈止损订单不存在
51528	200	止盈止损不支持修改触发类型
51529	200	改单失败，只有交割、永续合约单可以修改止盈止损
51530	200	改单失败，只减仓订单不能附带止盈止损
51531	200	改单失败，止盈止损单修改必须保留一个方向
51536	200	期权的 pxVol 或者 pxUsd 订单不支持修改订单数量
51537	200	非期权产品不支持使用 pxUsd 或者 pxVol
51543	200	修改现货或杠杆的止盈止损订单时，仅支持调整价格和数量。如需其他操作，请撤单后重新下单。
51600	200	查询订单的状态不存在
51601	200	订单状态和订单id不能同时存在
51602	200	订单状态或订单id必须存在一个
51603	200	查询订单不存在
51604	200	若想获取文件链接，请先申请下载文件
51605	200	只允许下载过去两年内的历史成交明细文件
51606	200	无法下载当前季度的历史成交明细
51607	200	您已申请下载文件，当前状态为进行中
51608	200	当前季度无历史成交明细
51610	200	只允许下载 2021 年第一季度以来的历史账单流水
51611	200	无法下载当前季度的账单流水
51620	200	您不是节点用户，没有相关权限
51621	200	该用户不是您的直客
51820	200	请求失败
51821	200	该支付方式不支持
51822	200	超过询价有效期
51823	200	买卖交易参数 {param} 与报价不一致
51156	200	您当前身份为带单交易员。在开平仓模式下，对于带单合约标的不支持使用该接口平仓
51159	200	您当前身份为带单交易员，在买卖模式下，如需使用该接口下单，委托的方向必须与现有持仓和挂单保持一致
51162	200	您当前有 {instrument} 挂单，请撤单后重试
51163	200	您当前有 {instrument} 持仓，请平仓后重试
51165	200	{instrument}只减仓订单数量已达上限 {upLimit}，请撤销部分订单后重新下单。
51166	200	当前产品不支持带单
51167	200	下单失败，因为您存在大宗交易的委托订单，请撤销后重新下单
51168	200	下单失败，因为您存在只减仓类型的委托订单，请撤销后重新下单
51320	200	币种占比范围 {PercentNum1}%-{PercentNum2}%
51321	200	您正在带单。暂不支持使用套利、冰山或时间加权 (TWAP) 策略带单
51322	200	您当前身份为带单交易员。您的带单合约持仓已经市价全平，系统已撤销止盈止损委托并进行平仓
51323	200	您当前身份为带单交易员。您的带单合约仓位已设置止盈止损，请先撤销原有止盈止损订单
51324	200	您当前身份为带单交易员，并持有 {instrument} 仓位。平仓委托张数需要与可平张数一致
51325	200	您当前身份为带单交易员。下止盈止损单时，请选择市价作为委托价格
51326	200	您当前身份为带单交易员，下止盈止损单时，委托价格类型必须为市价
51326	200	您当前身份为带单交易员，下止盈止损单时，委托价格类型必须为市价
54000	200	暂不支持币币杠杆业务
54001	200	只有跨币种全仓账户才能设置自动借币
54004	200	下单或改单失败，因为批量订单中的一个订单失败了
54005	200	盘前交割合约请使用逐仓进行交易
54006	200	盘前交易合约用户持仓上限为{posLimit}张
54007	200	不支持该产品 {instId}
54008	200	该操作被“撤销 MMP 订单”接口限制。请通过该接口解除限制。
54009	200	{param0}的范围应为 [{param1}，{param2}]
54011	200	盘前交易合约交割前 1 小时内仅允许减少仓位数量，请修改或撤销订单
54018	200	超出 {param0} 美元的买入量限额，余下限额为 {param1} 美元。（集合竞价期间）
54019	200	超出 {param0} 美元的买入量限额，余下限额为 {param1} 美元。（集合后）
54024	200	下单失败，在全仓模式下交易交割、永续合约和期权时需开启 {ccy} 质押
54025	200	下单失败，在逐仓模式下交易杠杆、交割、永续合约和期权时需开启 {ccy} 质押
54026	200	下单失败，在逐仓模式下交易杠杆币对时需开启 {ccy} 和 {ccy1} 质押
54027	200	下单失败，交易期权时需开启 {ccy} 质押
54028	200	下单失败，在逐仓模式下交易现货需开启 {ccy} 质押
54029	200	{param0} 不存在于 {param1}
54030	200	下单失败，您的 {param0} 相同交易方向的持仓和挂单总价值不可超过 {param1} 美元，或超过全平台总持仓量的 {param2}
54031	200	下单失败，{param0} 合约已达到 {param1} 美元的持仓限额
54035	200	下单失败，当前已达到该币种的全平台质押上限，仅支持只减仓订单
54036	200	STP mode 为 cancel both，不支持 FOK 订单
54039	200	ELP 订单不支持仅减仓设置
54040	200	ELP 订单无法与止盈止损设置同时使用
54041	200	{param0} 不支持下 ELP 订单
54042	200	您无法为 {param0} 下 ELP 订单
54043	200	您最多只能为 {param0} 下 {param1} 个 ELP 订单，请撤销部分订单后再试
54070	200	当前功能不可用。使用 App 请更新至最新版本；使用 Open API 请通过 attachAlgoOrds 数组下单。
54071	200	由于平台系统已升级，此订单已不支持修改。建议撤销后再重新下单。
54072	200	当前仅支持查看该合约，无法进行交易
54073	200	下单失败，{param0} 存在脱钩风险，请切换结算币种后重试
54074	200	设置失败，请撤销所有以 {param0} 作为结算币种的挂单、平掉相关仓位、停止策略
54075	200	当前账户模式暂不支持币币合约交易。
54078	200	当主单为买入订单时，止盈涨跌幅应高于 0，止损涨跌幅应处于 -1 ~ 0 之间；当主单为卖出订单时，止盈涨跌幅应处于 -1 ~ 0 之间，止损涨跌幅应高于 0。请注意，涨跌幅应为 0.0001 的整倍数。
54079	200	仅支持合约模式和跨币种保证金模式下的合约交易设置动态涨跌幅。请注意，若设置为动态涨跌幅，触发价将以最新价为参考。
数据类
错误码	HTTP 状态码	错误提示
52000	200	没有最新行情信息
金融
错误码从 51700 到 51799

错误码	HTTP 状态码	错误提示
51720	200	赎回失败
51721	200	取消赎回失败
51722	200	赎回已到账
51723	200	不支持提前赎回
51724	200	当前状态不支持赎回
51725	200	当前状态不支持取消
51726	200	该项目不支持撤销申购/赎回
51727	200	最小申购数量为 {minUnit} {ccy}
51728	200	申购数量超过最大值
51729	200	该项目尚未到期
51730	200	该项目已售罄
51731	200	产品现在暂停申购
51732	200	用户KYC等级不符合要求
51733	200	用户被风险管理中
51734	200	不支持用户所属KYC国家
51735	200	不支持子帐户
51736	200	{ccy} 余额不足
51737	200	根据当地法律法规，您需要完成身份认证方可继续使用我们的服务。
51738	200	您的资金账户被冻结
51739	200	该功能暂不可用
51750	200	抵押物不能包含借贷币种资产
51751	200	币种 {ccy} 不支持借币
51752	200	币种 {ccy} 不支持抵押
51753	200	抵押物中不包含此资产
51754	200	当前没有负债，无需增加抵押物
51755	200	币种 {ccy} 被限制操作
51756	200	超过最大可赎回数量
51757	200	质押物数量不应低于 {minAmt}
51758	200	您最多可赎回 {maxRedemptionAmount} {crypto}。
51759	200	已超出临时限额，请稍后再试。
51760	200	使用中性套利策略的账户无法开通活期借币
51761	200	无法验证子账户的策略类型
51762	200	已部分赎回的订单无法取消
闪兑
错误码从 52900 到 52999

错误码	HTTP 状态码	错误提示
52900	200	无效请求
52901	200	无效基准货币
52902	200	无效标价货币
52903	200	无效的报价数量
52904	200	无效的报价方向
52905	200	无效的报价
52907	200	订单找不到
52908	200	无效的订单ID
52909	200	客户自定义ID重复使用
52910	500	服务端暂时不可用，请稍后重试
52911	500	询价服务不可用，请稍后重试
52912	500	服务端超时
52913	200	拒绝交易
52914	200	交易账户可用资产不足
52915	200	询价量太大，流动性不足导致无法报价，请稍后重试
52916	200	资金账户余额不足
52917	200	询价数量不能低于下限
52918	200	询价数量不能超过上限
52919	200	闪兑交易参数{param}与报价不一致
52920	200	闪兑交易数量不能超过报价数量
52921	200	报价已交易，请重新询价
52922	200	报价已过期，请重新询价
52923	200	服务异常，请稍后重试
52924	200	下单过于频繁，请稍后重试
52925	200	客户自定义请求ID重复使用
52926	200	{param0}已过期
52927	200	没有报价
52928	200	数量应为下单数量精度的倍数
52929	200	切换手续费支付为所得币后再闪兑
交割合约类
错误码从 55000 到 55999

错误码	HTTP 状态码	错误提示
55000	200	交割后30分钟内不能转出
永续合约类
暂无

期权合约类
暂无

资金类
错误码从 58000 到 58999

错误码	HTTP 状态码	错误提示
58002	200	请先开通余币宝服务
58003	200	余币宝不支持该币种
58004	200	账户冻结
58005	200	申购/赎回额度不可超过{0}
58006	200	币种{0}不支持当前操作
58007	200	资金接口服务异常，请稍后再试。
58008	200	您没有该币种资产
58009	200	币对不存在
58010	200	该链{0}暂不支持
58011	200	抱歉，由于当地法律法规，欧易无法为{region}未认证用户提供服务，请先认证身份以继续使用欧易
58012	200	抱歉，由于当地法律法规，欧易无法为{region}未认证用户提供服务，所以您无法向该用户转账
58013	200	暂不支持提币功能，请咨询客服了解详情
58014	200	暂不支持充值功能，请咨询客服了解详情
58015	200	暂不支持划转功能，请咨询客服了解详情
58016	200	仅交易团队主账户有权限调用此接口
58100	200	行权或结算中，暂无法转入或转出
58101	200	划转冻结
58102	429	已达到速率限制。请参考相应的 API 文档与节流请求
58103	200	该账户划转功能暂不可用，详情请联系客服
58104	200	您在法币区的交易异常，现已被限制划转功能，请您联系在线客服以解除限制
58105	200	您在法币区的交易异常，现已被限制划转功能，请您在网页或APP进行法币划
转操作以完成身份验证
58106	200	美元可转校验未通过
58107	200	币种可转校验未通过
58110	200	您所交易过或者持仓的 {businessType} {instFamily} 产品触发市场风控，平台已暂停您的资金转出功能，请稍后重试。如需进一步的协助，请联系客服。
58111	200	永续合约正在收取资金费，暂时无法做资金划转，请稍后重试
58112	200	资金划转失败，请联系客服进行处理
58113	200	该币种不支持划转
58114	400	转账金额必须大于 0
58115	200	子账户不存在
58116	200	转出数量大于最大可转数量
58117	200	账户划转失败，请先处理负资产后再划转
58119	200	{0} 子账户没有转出权限，请先设置
58120	200	划转服务暂不可用，请稍后重试
58121	200	此次划转将导致您的仓位风险水平较高，进而可能引起爆仓。您需要重新调整划转金额，确保仓位处于安全水平后，再进行划转操作。
58122	200	您的一部分现货正用于仓位间的 Delta 对冲，若划转数量超过可用金额，可能会影响现有的现货对冲结构，进而导致维持保证金率增加，请留意您的风险水平。
58123	200	参数from与参数to不可相同
58124	200	资金划转中，划转id：{trId}，请通过接口(GET /api/v5/asset/transfer-state)获取最新状态
58125	200	不可交易资产仅支持子账户转主账户
58126	200	不可交易资产划转，只能在资金账户间互转
58127	200	主账户 API key 不支持当前 type 划转类型参数，请参考 API 文档描述
58128	200	子账户 API key 不支持当前 type 划转类型参数，请参考 API 文档描述
58129	200	{param}错误或{param}与type不匹配
58131	200	根据当地法律法规，欧易无法为未认证用户提供服务，请先完成身份认证再继续划转
58132	200	根据当地法律法规，我们无法为仅完成基本认证的用户提供服务，请先完成高级认证再继续划转
58200	200	该币种暂不支持从{0}提现至{1}，敬请谅解
58201	200	今日提现金额累计超过每日限额
58202	200	NEO最小提现数量为1，且提现数量必须为整数
58203	200	请先添加提现地址
58204	200	因您的账户活动触发风控，暂停提现。请联系客户支持寻求帮助。
58205	200	提现金额大于单笔提现最大金额
58206	200	提现金额小于单笔最小提现金额
58207	200	提币地址不在认证地址列表内 (带标签的提币地址格式为 “address:label”)
58208	200	提现失败，邮箱未绑定
58209	200	子账户不能充值或提现，请在主账户中进行提现。
58210	200	由于无法验证您的身份，提币操作未能成功。请通过欧易 App 或官网完成提币操作。
58212	200	提现手续费应填写为提币数量的{0}%
58213	200	内部转账地址不合法，必须是邮箱、手机号或者账户名
58214	200	{chainName}维护中，暂停提币
58215	200	提币申请ID不存在
58216	200	不允许执行该操作
58217	200	您当前的提现地址存在风险，暂时不能提现，详情请联系客服
58218	200	内部提现失败，请检查参数toAddr与areaCode
58219	200	为保障您的资金安全，修改手机号/邮箱/谷歌验证后24小时之内将无法提现
58220	200	提币请求已撤销
58221	200	toAddr参数格式有误，提币地址需要加上标签，格式应该为“地址:标签”
58222	200	无效的提币地址
58223	200	提币到此合约地址需要支付更高的手续费
58224	200	该类型币种暂不支持链上提币到 OKX 地址，请通过内部转账进行提币
58225	200	抱歉，由于当地法律法规，欧易无法为{region}未认证用户提供服务，所以您无法向该用户转账
58226	200	{chainName} 已下线，不支持提币
58227	200	不可交易资产提币只能全部提出
58228	200	不可交易资产提币要求 API key 必须绑定 IP
58229	200	资金账户手续费不足 {fee} USDT
58230	200	根据欧易的合规政策，您需要完成 Lv. 1 身份认证方可继续提币
58231	200	由于您的收款人尚未完成 Lv. 1 身份认证，内部转账暂时无法完成
58232	200	您已超出个人身份验证 (Lv.1) 的提币上限，请完成照片验证 (Lv. 2) ，即可提升提币限额
58233	200	根据当地法律法规，欧易无法为未认证用户提供服务，请先完成身份认证再继续提币
58234	200	根据当地法律法规，收款人必须完成身份认证方可收到您的转账
58235	200	根据当地法律法规，欧易无法为仅完成基本认证的用户提供服务，请先完成高级认证再继续提币
58236	200	根据当地法律法规，仅完成基础认证的收款人无法收取转账，您的收款人必须完成高级认证方可收到您的转账
58237	200	根据当地法律法规，请提供准确的接收方信息 (rcvrInfo)。对于交易所地址，请一并提供交易所信息和接收人的身份信息({recipientParameters})。
58238	200	提币到交易所地址需提供完整的接收方信息，包括交易所信息和接收人的身份信息
58239	200	不支持 API 提币至私人钱包。请通过欧易 App 或官网完成提币操作。
58240	200	根据当地法律法规，为保障用户安全，您需要完成身份认证方可继续使用我们的服务。若您不希望进行身份认证，请联系客服团队了解详情。我们致力于为用户提供一个安全的平台，感谢您的理解与支持。
58241	200	根据当地法律法规，内部转账功能暂时无法使用
58242	200	受收款人所在地法律法规限制，本次内部转账无法完成
58243	200	由于您的收款人尚未完成法币入金，对方不能接收本次转账
58244	200	请先完成法币入金，再进行您的操作
58248	200	根据当地法律法规限制，提币API已被暂时禁用。请使用OKX网页或OKX手机APP进行提币操作。
58249	200	该币种暂不支持 API 提币，请于欧易网页端或 App 端进行提币。
58252	200	为保障您的资产安全，首次进行 TRY 交易后，提币将在 48 小时内受到限制。
58254	200	由于您所在国家或地区的合规限制，API 提币至私人钱包之前，需要先通过欧易 App 或官网完成 digital signature 或者 satoshi test。
58256	200	您每 24 小时最多可提取价值为 {dailyLimit} {symbol} 的稳定币，当前还可提取 {quotaRemaining} {symbol}。
58257	200	您每月最多可提取价值为 {monthlyLimit} {symbol} 的稳定币，当前还可提取 {quotaRemaining} {symbol}。
58258	200	您每 24 小时最多可提取价值为 {dailyLimit} {symbol} 的数字货币，当前还可提取 {quotaRemaining} {symbol}。
58300	200	创建充值地址超过上限
58301	200	充值地址不存在
58302	200	充值地址需要标签
58303	200	该链{chain}充值当前不可用
58304	200	创建invoice失败
58305	200	找不到充币地址，请完成身份认证并生成充币地址
58306	200	根据欧易的合规政策，您需要完成 Lv. 1 身份认证方可继续充币
58307	200	您已超出个人身份验证 (Lv.1) 的充币上限。超出充币上限的资产已被冻结，请完成照片验证 (Lv. 2) ，即可提升充币限额
58308	200	根据当地法律法规，欧易无法为未认证用户提供服务，请先完成身份认证再继续充币
58309	200	根据当地法律法规，欧易无法为仅完成基本认证的用户提供服务，请先完成高级认证再继续充币
58310	200	无法创建新的充币地址，请稍后重试
58350	200	您的余额不足
58351	200	invoice已经过期
58352	200	invoice无效
58353	200	充币数量需要在限额范围内
58354	200	单日达到生成invoice 10,000 个的上限
58355	200	用户没有使用此API接口的权限，请联系您的客户经理
58356	200	同节点账户不支持闪电网络充币或提币
58358	200	参数fromCcy与参数toCcy不可相同
58373	200	{ccy} 最小兑换数量为 {amount}
账户类
错误码从 59000 到 59999

错误码	HTTP 状态码	错误提示
59000	200	设置失败，请在设置前关闭任何挂单或持仓
59001	200	当前存在借币，暂不可切换
59002	200	子账户设置失败，请在设置前关闭任何子账户挂单、持仓或策略
59004	200	只支持同一业务线下交易产品ID
59005	200	逐仓自主划转保证金模式，初次划入仓位的资产价值需大于 10,000 USDT
59006	200	此功能即将下线，无法切换到此模式
59101	200	杠杆倍数无法修改，请撤销所有逐仓挂单后进行杠杆倍数修改
59102	200	杠杆倍数超过最大杠杆倍数，请降低杠杆倍数
59103	200	杠杆倍数过低，账户中没有足够的可用保证金可以追加，请提高杠杆倍数
59104	200	杠杆倍数过高，借币仓位已超过该杠杆倍数的最大仓位，请降低杠杆倍数
59105	400	杠杆倍数设置不能小于{0}，请提高杠杆倍数
59106	200	您下单后仓位总张数所处档位的最高可用杠杆为{0}，请重新调整
59107	200	杠杆倍数无法修改，请撤销所有全仓挂单后修改杠杆倍数
59108	200	杠杆倍数过低，账户中保证金不足，请提高杠杆倍数
59109	200	调整后，账户权益小于所需保证金，请重新调整杠杆倍数
59110	200	该{0}对应的产品业务线不支持使用tgtCcy参数
59111	200	PM账户下衍生品全仓不支持杠杆查询
59112	200	当前存在逐仓/全仓挂单，请撤销所有逐仓挂单后进行杠杆倍数修改
59113	200	根据当地法律法规，您所在的地区无法使用保证金交易相关服务，如果您不是该地区居民，请进行KYC2身份认证
59114	200	根据当地法律法规，您所在的地区无法使用保证金交易相关服务
59117	200	所选币种数量不能超过 {param0} 个
59118	200	下单金额需大于 {param0}
59119	200	一键还债功能暂时关闭，请稍后重试
59120	200	一键兑换主流币功能暂时关闭，请稍后重试
59121	200	该批次正在处理中，请等待处理完
59122	200	该批次已经处理完
59123	200	{param0}币种下单金额需大于 {param1}
59124	200	{param0} 币种下单金额需小于 {param1}
59125	200	{param0} 不支持当前操作
59132	200	无法切换，请先撤销所有挂单，参考预检查接口并停止不兼容策略
59133	200	无法切换，资产未达目标账户模式的要求
59134	200	无法切换，请参考预检查接口并平掉不兼容的仓位
59135	200	无法切换，请参考预检查接口并调整带跟单关系
59136	200	无法切换，请预先设置全仓合约仓位的杠杆倍数
59137	200	设置失败，请为所有全仓合约仓位降低杠杆倍数到 {param0} 或以下
59138	200	无法切换，梯度档位校验失败
59139	200	无法切换，保证金校验失败
59140	200	请使用质押币种进行还币
59141	200	最小还币数量为 {param0}，请增加还币币种数量或增加交易账户币种余额
59142	200	还币失败，仅支持偿还可借币种
59200	200	账户余额不足
59201	200	账户余额是负数
59202	200	PM 账户下衍生品全仓不支持最大可开仓数量的查询
59300	200	追加保证金失败，指定仓位不存在
59301	200	调整保证金超过当前最大可调整数量
59302	200	当前仓位存在平仓挂单，请撤销平仓挂单后进行保证金修改
59303	200	可用保证金不足，请尝试增加保证金或减少借币数量
59304	200	借币币种权益不足，请至少留有一天的利息
59305	200	您当前没有进行尊享借币，无法设置尊享借币优先
59306	200	借币数量超过总额度，不可继续借币
59307	200	当前用户不满足尊享借币条件
59308	200	市场化借币额度不足，VIP还币失败
59309	200	还币数量超出已借数量，还币失败
59310	200	当前账户不支持尊享借币
59311	200	存在尊享借币，无法设置
59312	200	{币种}不支持尊享借币
59313	200	无法还币。在一键借币模式下，您目前没有 ${ccy} 借币（币对：${ccyPair}）
59314	200	当前用户该订单不是借币中，不允许还币
59315	200	VIP借币功能正在升级中,稍等10分钟之后再次操作
59316	200	当前用户该币种存在借币申请中的订单，不允许借币
59317	200	您当前币种 VIP 借币中的订单数量不能大于{maxNumber}(单)
59319	200	由于您的资金已被占用，您暂时无法偿还借贷，请解除占用状态再进行还币
59320	200	超出借贷限额
59401	200	持仓价值达到持仓限制
59402	200	查询条件中的instId的交易产品当前不是可交易状态，请填写单个instid逐个查询状态详情
59410	200	只有当借币交易启用且该币种支持借币交易时，您才可以进行借币
59411	200	无法手动借币，账户可用保证金不足
59412	200	无法手动借币，您输入的数量已超过借币限额
59413	200	该币种没有负债，无需还币
59414	200	无法手动借币，您输入的数量应大于或等于最小借币数量 {param0}
59415	200	由於利用率偏高，{TOKEN} 的手動簡單借幣已暫停，請稍後重試。
59500	200	仅主账户有操作权限
59501	200	每个账户最多可创建 50 个 API key
59502	200	此备注名已存在。 请输入唯一的 API key 备注名称
59503	200	每个 API key 最多可以绑定 20 个 IP 地址
59504	200	子账户不支持提币功能，请在主账户中进行提币
59505	200	passphrase 格式不正确，支持6-32位字母和数字组合
（区分大小写，不支持空格符号）
59506	200	API key 不存在
59507	200	转出账户和转入账户必须是同一个母账户下的2个不同的子账户
59508	200	{0}该子账户被冻结
59509	200	用户没有重置做市商保护状态的权限
59510	200	子账户不存在
59512	200	不支持为独立经纪商子账号设置主动转出权限，所有独立经纪商子账户默认有主动转出权限
59515	200	您当前不在托管账户白名单上。请联系客服寻求帮助。
59516	200	请先创建 Copper 托管资金账户
59517	200	请先创建 Komainu 托管资金账户
59518	200	您当前无法使用 API 创建子账户。请在网页端或 App 端创建。
59519	200	此功能已冻结，暂时无法使用，冻结原因：{freezereason}
59518	200	此账户无法使用 delta 中性策略模式
59519	200	仅支持 VIP 1 及以上的用户使用 delta 中性策略模式
59520	200	现货模式和合约模式不支持使用 delta 中性策略模式
59521	200	不支持在 delta 中性策略模式模式，进行活期借币
59522	200	不支持在 delta 中性策略模式模式，进行借币划转或借币提币
59523	200	不支持在 delta 中性策略模式模式，进行逐仓下单或逐仓开仓
59524	200	不支持在 delta 中性策略模式模式，进行期权交易或开期权仓位
59525	200	部分策略交易和跟单交易，无法在 delta 中性策略模式模式下使用
59526	200	策略模式设置失败。设置后，您账户的 Delta 权益比率将超过限制，触发“账户限制转出”状态，请降低 Delta 值后重试
59527	200	使用 delta 中性策略模式，需开启全部币种的质押
59528	200	策略模式设置失败。设置后，您账户在对应策略模式下的 {param0} 借币将超过主账户借币限额，请偿还借币后重试
59601	200	子账户名称已存在
59603	200	创建的子账户数量已达到上限
59604	200	仅母账APIkey有操作此接口的权限
59606	200	删除失败，请将子账户中的余额划转到母账户
59608	200	仅Broker账户有操作此接口的权限
