================================================================================
OKX USDT永续合约最小下单张数(minSz)及每张面值(ctVal)
更新时间: 2026-03-04 09:29:49
数据来源: https://www.okx.com/api/v5/public/instruments?instType=SWAP
合约数量: 272
================================================================================

Symbol                    最小下单张数               每张面值(币)             
ONT-USDT-SWAP             1                    10                  
OP-USDT-SWAP              1                    1                   
OPN-USDT-SWAP             1                    10                  
ORDER-USDT-SWAP           1                    10                  
ORDI-USDT-SWAP            1                    0.1                 
PARTI-USDT-SWAP           1                    10                  
PENDLE-USDT-SWAP          1                    1                   
PENGU-USDT-SWAP           1                    100                 
PEOPLE-USDT-SWAP          1                    100                 
PEPE-USDT-SWAP            0.1                  10000000            
PI-USDT-SWAP              1                    1                   
PIEVERSE-USDT-SWAP        1                    10                  
PIPPIN-USDT-SWAP          1                    10                  
PLTR-USDT-SWAP            0.01                 1                   
PLUME-USDT-SWAP           1                    10                  
PNUT-USDT-SWAP            1                    10                  
POL-USDT-SWAP             1                    10                  
POPCAT-USDT-SWAP          1                    10                  
PROVE-USDT-SWAP           1                    1                   
PUMP-USDT-SWAP            1                    1000                
PYTH-USDT-SWAP            1                    10                  
QQQ-USDT-SWAP             0.01                 1                   
QTUM-USDT-SWAP            1                    1                   
RAVE-USDT-SWAP            1                    10                  
RAY-USDT-SWAP             1                    1                   
RECALL-USDT-SWAP          1                    10                  
RENDER-USDT-SWAP          1                    1                   
RESOLV-USDT-SWAP          1                    10                  
RIVER-USDT-SWAP           1                    0.1                 
RLS-USDT-SWAP             1                    100                 
ROBO-USDT-SWAP            1                    100                 
RSR-USDT-SWAP             1                    100                 
RVN-USDT-SWAP             1                    10                  
S-USDT-SWAP               1                    10                  
SAHARA-USDT-SWAP          1                    10                  
SAND-USDT-SWAP            1                    10                  
SAPIEN-USDT-SWAP          1                    10                  
SATS-USDT-SWAP            1                    10000000            
SEI-USDT-SWAP             1                    10                  
SENT-USDT-SWAP            1                    100                 
SHELL-USDT-SWAP           1                    10                  
SHIB-USDT-SWAP            0.1                  1000000             
SIGN-USDT-SWAP            1                    100                 
SKY-USDT-SWAP             1                    100                 
SNDK-USDT-SWAP            0.01                 1                   
SNX-USDT-SWAP             1                    1                   
SOL-USDT-SWAP             0.01                 1                   
SOON-USDT-SWAP            0.1                  10                  
SOPH-USDT-SWAP            1                    100                 
SPACE-USDT-SWAP           1                    100                 
SPK-USDT-SWAP             1                    100                 
SPX-USDT-SWAP             1                    1                   
SPY-USDT-SWAP             0.01                 1                   
SSV-USDT-SWAP             1                    0.1                 
STABLE-USDT-SWAP          1                    100                 
STRK-USDT-SWAP            1                    1                   
STX-USDT-SWAP             0.1                  10                  
SUI-USDT-SWAP             1                    1                   
SUSHI-USDT-SWAP           1                    1                   
SYRUP-USDT-SWAP           1                    10                  
TAO-USDT-SWAP             1                    0.01                
THETA-USDT-SWAP           0.1                  10                  
TIA-USDT-SWAP             1                    1                   
TON-USDT-SWAP             1                    1                   
TRB-USDT-SWAP             1                    0.1                 
TRIA-USDT-SWAP            1                    100                 
TRUMP-USDT-SWAP           1                    0.1                 
TRUST-USDT-SWAP           1                    10                  
TRUTH-USDT-SWAP           1                    100                 
TRX-USDT-SWAP             0.01                 1000                
TSLA-USDT-SWAP            0.01                 1                   
TURBO-USDT-SWAP           0.1                  10000               
UMA-USDT-SWAP             1                    0.1                 
UNI-USDT-SWAP             1                    1                   
USDC-USDT-SWAP            1                    10                  
USELESS-USDT-SWAP         1                    10                  
VANA-USDT-SWAP            1                    0.1                 
VIRTUAL-USDT-SWAP         1                    1                   
W-USDT-SWAP               1                    1                   
WAL-USDT-SWAP             1                    10                  
WCT-USDT-SWAP             1                    10                  
WET-USDT-SWAP             1                    10                  
WIF-USDT-SWAP             1                    1                   
WLD-USDT-SWAP             1                    1                   
WLFI-USDT-SWAP            1                    10                  
WOO-USDT-SWAP             1                    10                  
XAG-USDT-SWAP             1                    0.01                
XAU-USDT-SWAP             1                    0.001               
XLM-USDT-SWAP             0.1                  100                 
XPD-USDT-SWAP             1                    0.001               
XPL-USDT-SWAP             1                    10                  
XPT-USDT-SWAP             1                    0.001               
XRP-USDT-SWAP             0.01                 100                 
XTZ-USDT-SWAP             1                    1                   
YB-USDT-SWAP              1                    1                   
YFI-USDT-SWAP             1                    0.0001              
YGG-USDT-SWAP             1                    1                   
ZAMA-USDT-SWAP            1                    10                  
ZBT-USDT-SWAP             1                    1                   
ZEC-USDT-SWAP             1                    0.01                
ZEN-USDT-SWAP             1                    0.1                 
ZETA-USDT-SWAP            1                    10                  
ZIL-USDT-SWAP             1                    100                 
ZK-USDT-SWAP              1                    10                  
ZKP-USDT-SWAP             1                    10                  
ZORA-USDT-SWAP            1                    10                  
ZRO-USDT-SWAP             1                    1                   
ZRX-USDT-SWAP             1                    10                  

================================================================================
说明:
- minSz: 最小下单数量,单位为张
- ctVal: 每张合约面值,单位为币(如BTC、ETH等)
- 例如: BTC-USDT-SWAP 的 minSz=0.01张, ctVal=0.01
  表示最小下单0.01张, 每张=0.01BTC
- 下单张数计算: 张数 = 下单金额 / (当前价格 × ctVal)
================================================================================
